City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
118,lompoc,34.6391,-120.4579,23.21,73,38,5.81,US,1687636383
119,praia da vitoria,38.7333,-27.0667,23.14,73,20,3.85,PT,1687636383
120,avarua,-21.2078,-159.775,20.03,100,75,1.03,CK,1687636383
121,bardai,11.65,7.2333,25.36,68,66,5.32,NG,1687636383
122,mount gambier,-37.8333,140.7667,9.29,92,82,6.77,AU,1687636384
123,alaghsas,17.0187,8.0168,31.47,37,95,6.39,NE,1687636384
124,rio preto da eva,-2.6994,-59.6997,29.34,69,93,1.28,BR,1687636384
125,bonny,4.4522,7.1681,25.56,72,14,5.66,NG,1687636384
126,fort st. john,56.2499,-120.8529,23.94,41,75,3.09,CA,1687636384
127,smithers,54.7804,-127.1743,22.18,33,0,1.03,CA,1687636305
128,aasiaat,68.7098,-52.8699,2.22,83,99,2.45,GL,1687636385
129,port elizabeth,-33.918,25.5701,15.17,91,0,3.6,ZA,1687636385
130,vadso,70.0744,29.7487,16.49,88,100,4.63,NO,1687636385
131,atafu village,-8.5421,-172.5159,28.59,70,71,7.11,TK,1687636385
132,severo-yeniseyskiy,60.3725,93.0408,5.93,89,100,0.8,RU,1687636385
133,moyale,3.5167,39.0584,21.97,54,90,2.06,KE,1687636386
134,howard springs,-12.497,131.047,22.95,89,10,2.42,AU,1687636386
135,camayenne,9.535,-13.6878,27.5,82,57,4.61,GN,1687636386
136,kiama,-34.6833,150.8667,11.99,60,0,2.68,AU,1687636386
137,tanjungtiram,4.0613,98.3699,24.85,92,99,2.71,ID,1687636386
138,puno,-15.8333,-70.0333,14.76,16,0,3.83,PE,1687636387
139,pangody,65.85,74.4859,3.93,93,12,3.27,RU,1687636387
140,cidreira,-30.1811,-50.2056,19.62,87,99,3.09,BR,1687636387
141,akrehamn,59.2667,5.1833,18.89,82,100,4.12,NO,1687636387
142,carutapera,-1.195,-46.02,27.36,79,12,3.68,BR,1687636387
143,mizdah,31.4451,12.9801,28.66,33,0,4.49,LY,1687636387
144,hammerfest,70.6634,23.6821,11.25,87,0,5.14,NO,1687636273
145,georgetown,5.4112,100.3354,27.96,87,20,0.0,MY,1687636388
146,sitka,57.0531,-135.33,14.94,77,100,4.12,US,1687636388
147,saint-leu,-21.15,55.2833,19.48,97,35,6.92,RE,1687636388
148,labuan bajo,-8.4964,119.8877,24.56,79,100,1.5,ID,1687636388
149,tabou,4.423,-7.3528,24.64,86,100,5.23,CI,1687636388
150,tidjikja,18.5564,-11.4271,37.3,11,0,4.62,MR,1687636388
151,ancud,-41.8697,-73.8203,10.3,81,34,1.97,CL,1687636389
152,invercargill,-46.4,168.35,7.83,86,100,1.17,NZ,1687636389
153,fisterra,42.9049,-9.2629,19.3,92,1,5.2,ES,1687636389
154,rio grande,-32.035,-52.0986,25.06,93,100,2.83,BR,1687636389
155,opuwo,-18.0607,13.84,16.4,19,0,2.82,NA,1687636389
156,baikonur,45.6167,63.3167,21.8,38,100,3.78,KZ,1687636389
157,juneau,58.3019,-134.4197,17.0,100,100,5.66,US,1687636391
158,kingston,17.997,-76.7936,31.23,82,75,3.09,JM,1687636391
